Species,Weight,Vertical_len,Diagonal_len,Cross_len,Height,Width
Perch,80.000000,17.200000,19.000000,20.200000,5.635800,3.050200
Roach,200.000000,22.100000,23.500000,26.800000,7.396800,4.127200
Bream,575.000000,31.300000,34.000000,39.500000,15.128500,5.569500
Bream,685.000000,31.400000,34.000000,39.200000,15.993600,5.370400
Perch,32.000000,12.500000,13.700000,14.700000,3.528000,1.999200
Bream,950.000000,38.000000,41.000000,46.500000,17.623500,6.370500
Perch,130.000000,20.500000,22.500000,24.000000,5.856000,3.624000
Parkki,150.000000,18.400000,20.000000,22.400000,8.892800,3.292800
Bream,1000.000000,33.500000,37.000000,42.600000,18.957000,6.603000
Perch,820.000000,37.100000,40.000000,42.500000,11.135000,6.630000
Perch,150.000000,20.500000,22.500000,24.000000,6.792000,3.624000
Perch,300.000000,26.900000,28.700000,30.100000,7.585200,4.635400
Perch,265.000000,25.400000,27.500000,28.900000,7.051600,4.335000
Whitefish,270.000000,23.600000,26.000000,28.700000,8.380400,4.247600
Perch,225.000000,22.000000,24.000000,25.500000,7.293000,3.723000
Whitefish,800.000000,33.700000,36.400000,39.600000,11.761200,6.573600
Bream,720.000000,32.000000,35.000000,40.600000,16.361800,6.090000
Parkki,273.000000,23.000000,25.000000,28.000000,11.088000,4.144000
Perch,1000.000000,39.800000,43.000000,45.200000,11.932800,7.277200
Roach,160.000000,20.500000,22.500000,25.300000,7.033400,3.820300
Bream,700.000000,30.400000,33.000000,38.300000,14.860400,5.285400
Bream,340.000000,23.900000,26.500000,31.100000,12.377800,4.696100
Bream,700.000000,31.900000,35.000000,40.500000,16.240500,5.589000
Roach,180.000000,23.600000,25.200000,27.900000,7.086600,3.906000
Perch,120.000000,20.000000,22.000000,23.500000,5.640000,3.525000
Parkki,200.000000,21.200000,23.000000,25.800000,10.345800,3.663600
Perch,51.500000,15.000000,16.200000,17.200000,4.592400,2.631600
Bream,363.000000,26.300000,29.000000,33.500000,12.730000,4.455500
Perch,1100.000000,39.000000,42.000000,44.600000,12.800200,6.868400
Whitefish,270.000000,24.100000,26.500000,29.300000,8.145400,4.248500
Parkki,60.000000,14.300000,15.500000,17.400000,6.577200,2.314200
Perch,260.000000,25.400000,27.500000,28.900000,7.167200,4.335000
Bream,242.000000,23.200000,25.400000,30.000000,11.520000,4.020000
Roach,290.000000,24.000000,26.000000,29.200000,8.876800,4.496800
Bream,500.000000,29.100000,31.500000,36.400000,13.759200,4.368000
Roach,110.000000,19.100000,20.800000,23.100000,6.167700,3.395700
Perch,120.000000,20.000000,22.000000,23.500000,6.110000,3.407500
Roach,160.000000,21.100000,22.500000,25.000000,6.400000,3.800000
Perch,115.000000,19.000000,21.000000,22.500000,5.917500,3.307500
Bream,475.000000,28.400000,31.000000,36.200000,14.262800,5.104200
Perch,130.000000,20.000000,22.000000,23.500000,6.110000,3.525000
Roach,272.000000,25.000000,27.000000,30.600000,8.568000,4.773600
Perch,110.000000,19.000000,21.000000,22.500000,5.692500,3.555000
Bream,500.000000,26.800000,29.700000,34.500000,14.179500,5.278500
Bream,500.000000,28.500000,30.700000,36.200000,14.226600,4.959400
Perch,650.000000,36.500000,39.000000,41.400000,11.136600,6.003000
Roach,87.000000,18.200000,19.800000,22.200000,5.616600,3.174600
Perch,125.000000,19.000000,21.000000,22.500000,5.692500,3.667500
Bream,610.000000,30.900000,33.500000,38.600000,15.633000,5.133800
Bream,620.000000,31.500000,34.500000,39.700000,15.522700,5.280100
Perch,685.000000,34.000000,36.500000,39.000000,10.881000,6.864000
Bream,650.000000,31.000000,33.500000,38.700000,14.473800,5.727600
Bream,680.000000,31.800000,35.000000,40.600000,15.468600,6.130600
Roach,69.000000,16.500000,18.200000,20.300000,5.298300,2.821700
Parkki,55.000000,13.500000,14.700000,16.500000,6.847500,2.326500
Bream,430.000000,26.500000,29.000000,34.000000,12.444000,5.134000
Bream,920.000000,35.000000,38.500000,44.100000,18.036900,6.306300
Bream,850.000000,32.800000,36.000000,41.600000,16.889600,6.198400
Roach,390.000000,29.500000,31.700000,35.000000,9.485000,5.355000
Roach,78.000000,17.500000,18.800000,21.200000,5.575600,2.904400
Perch,850.000000,36.900000,40.000000,42.300000,11.928600,7.106400
Perch,1100.000000,40.100000,43.000000,45.500000,12.512500,7.416500
Perch,250.000000,25.900000,28.000000,29.400000,7.820400,4.204200
Bream,600.000000,29.400000,32.000000,37.200000,14.954400,5.170800
Perch,40.000000,13.800000,15.000000,16.000000,3.824000,2.432000
Perch,900.000000,37.000000,40.000000,42.500000,11.730000,7.225000
Roach,120.000000,18.600000,20.000000,22.200000,6.216000,3.574200
Roach,150.000000,20.400000,22.000000,24.700000,5.804500,3.754400
Whitefish,540.000000,28.500000,31.000000,34.000000,10.744000,6.562000
Roach,169.000000,22.000000,24.000000,27.200000,7.534400,3.835200
Perch,170.000000,21.500000,23.500000,25.000000,6.275000,3.725000
Roach,120.000000,19.400000,21.000000,23.700000,6.114600,3.294300
Roach,140.000000,21.000000,22.500000,25.000000,6.550000,3.325000
Bream,500.000000,28.700000,31.000000,36.200000,14.371400,4.814600
Roach,40.000000,12.900000,14.100000,16.200000,4.147200,2.268000
Perch,700.000000,34.000000,36.000000,38.300000,10.609100,6.740800
Parkki,145.000000,19.800000,21.500000,24.100000,9.736400,3.157100
Bream,925.000000,36.200000,39.500000,45.300000,18.754200,6.749700
Bream,725.000000,31.800000,35.000000,40.900000,16.360000,6.053200
Bream,714.000000,32.700000,36.000000,41.500000,16.517000,5.851500
Roach,161.000000,22.000000,23.400000,26.700000,6.915300,3.631200
Bream,290.000000,24.000000,26.300000,31.200000,12.480000,4.305600
Perch,135.000000,20.000000,22.000000,23.500000,5.875000,3.525000
Perch,85.000000,17.800000,19.600000,20.800000,5.137600,3.036800
Perch,197.000000,23.500000,25.600000,27.000000,6.561000,4.239000
Perch,130.000000,19.300000,21.300000,22.800000,6.384000,3.534000
Perch,556.000000,32.000000,34.500000,36.500000,10.256500,6.387500
Perch,700.000000,34.500000,37.000000,39.400000,10.835000,6.264600
Bream,975.000000,37.400000,41.000000,45.900000,18.635400,6.747300
Parkki,90.000000,16.300000,17.700000,19.800000,7.405200,2.673000
Parkki,300.000000,24.000000,26.000000,29.000000,11.368000,4.234000
Perch,145.000000,20.700000,22.700000,24.200000,5.953200,3.630000
Bream,390.000000,27.600000,30.000000,35.000000,12.670000,4.690000
Bream,450.000000,26.800000,29.700000,34.700000,13.602400,4.927400
Whitefish,1000.000000,37.300000,40.000000,43.500000,12.354000,6.525000
Perch,840.000000,32.500000,35.000000,37.300000,11.488400,7.795700
Perch,690.000000,34.600000,37.000000,39.300000,10.571700,6.366600
Parkki,140.000000,19.000000,20.700000,23.200000,8.537600,3.294400
Bream,700.000000,30.400000,33.000000,38.500000,14.938000,5.197500
Perch,1015.000000,37.000000,40.000000,42.400000,12.380800,7.462400
Roach,145.000000,20.500000,22.000000,24.300000,6.633900,3.547800
Bream,450.000000,27.600000,30.000000,35.100000,14.004900,4.843800
Perch,188.000000,22.600000,24.600000,26.200000,6.733400,4.165800
Perch,110.000000,20.000000,22.000000,23.500000,5.522500,3.995000
Perch,5.900000,7.500000,8.400000,8.800000,2.112000,1.408000
Parkki,170.000000,19.000000,20.700000,23.200000,9.396000,3.410400
Roach,0.000000,19.000000,20.500000,22.800000,6.475200,3.351600
Perch,250.000000,25.400000,27.500000,28.900000,7.282800,4.566200
Perch,150.000000,21.000000,23.000000,24.500000,5.218500,3.626000
Perch,300.000000,25.200000,27.300000,28.700000,8.323000,5.137300
Parkki,120.000000,17.500000,19.000000,21.300000,8.392200,2.918100
Bream,340.000000,29.500000,32.000000,37.300000,13.912900,5.072800
Perch,78.000000,16.800000,18.700000,19.400000,5.199200,3.123400
Perch,180.000000,23.000000,25.000000,26.500000,6.439500,3.683500
Bream,955.000000,35.000000,38.500000,44.000000,18.084000,6.292000
Perch,100.000000,16.200000,18.000000,19.200000,5.222400,3.321600
Perch,514.000000,30.500000,32.800000,34.000000,10.030000,6.018000
Perch,900.000000,36.500000,39.000000,41.400000,11.136600,7.493400
Whitefish,306.000000,25.600000,28.000000,30.800000,8.778000,4.681600
Perch,85.000000,18.200000,20.000000,21.000000,5.082000,2.772000
Perch,70.000000,15.700000,17.400000,18.500000,4.588000,2.941500
Perch,145.000000,22.000000,24.000000,25.500000,6.375000,3.825000
Perch,1000.000000,40.200000,43.500000,46.000000,12.604000,8.142000
Perch,820.000000,36.600000,39.000000,41.300000,12.431300,7.351400
Perch,320.000000,27.800000,30.000000,31.600000,7.615600,4.771600
Perch,218.000000,25.000000,26.500000,28.000000,7.168000,4.144000
Bream,600.000000,29.400000,32.000000,37.200000,15.438000,5.580000
